
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 23 September 2023]"
"Gender     :","Total"
"Age        :","All Ages"

"country","2019","2020","2021"

"United Kingdom",66796807,67081234,67026292
"Great Britain",64903140,65185724,65121729
"England",56286961,56550138,56536419
"Wales",3152879,3169586,3105410
"Scotland",5463300,5466000,5479900
"Northern Ireland",1893667,1895510,1904563
"England and Wales",59439840,59719724,59641829



