areaCode,areaName,areaType,date,hospitalCases,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2023-08-25,,29
K02000001,United Kingdom,overview,2023-08-24,,29
K02000001,United Kingdom,overview,2023-08-23,,26
K02000001,United Kingdom,overview,2023-08-22,,31
K02000001,United Kingdom,overview,2023-08-21,,30
K02000001,United Kingdom,overview,2023-08-20,,31
K02000001,United Kingdom,overview,2023-08-19,,46
K02000001,United Kingdom,overview,2023-08-18,,26
K02000001,United Kingdom,overview,2023-08-17,,35
K02000001,United Kingdom,overview,2023-08-16,,33
K02000001,United Kingdom,overview,2023-08-15,,24
K02000001,United Kingdom,overview,2023-08-14,,25
K02000001,United Kingdom,overview,2023-08-13,,20
K02000001,United Kingdom,overview,2023-08-12,,36
K02000001,United Kingdom,overview,2023-08-11,,24
K02000001,United Kingdom,overview,2023-08-10,,32
K02000001,United Kingdom,overview,2023-08-09,,13
K02000001,United Kingdom,overview,2023-08-08,,13
K02000001,United Kingdom,overview,2023-08-07,,13
K02000001,United Kingdom,overview,2023-08-06,,20
K02000001,United Kingdom,overview,2023-08-05,,22
K02000001,United Kingdom,overview,2023-08-04,,13
K02000001,United Kingdom,overview,2023-08-03,,12
K02000001,United Kingdom,overview,2023-08-02,,20
K02000001,United Kingdom,overview,2023-08-01,,18
K02000001,United Kingdom,overview,2023-07-31,,17
K02000001,United Kingdom,overview,2023-07-30,,10
K02000001,United Kingdom,overview,2023-07-29,,12
K02000001,United Kingdom,overview,2023-07-28,,16
K02000001,United Kingdom,overview,2023-07-27,,13
K02000001,United Kingdom,overview,2023-07-26,,14
K02000001,United Kingdom,overview,2023-07-25,,11
K02000001,United Kingdom,overview,2023-07-24,,9
K02000001,United Kingdom,overview,2023-07-23,,10
K02000001,United Kingdom,overview,2023-07-22,,8
K02000001,United Kingdom,overview,2023-07-21,,12
K02000001,United Kingdom,overview,2023-07-20,,3
K02000001,United Kingdom,overview,2023-07-19,,12
K02000001,United Kingdom,overview,2023-07-18,,11
K02000001,United Kingdom,overview,2023-07-17,,8
K02000001,United Kingdom,overview,2023-07-16,,8
K02000001,United Kingdom,overview,2023-07-15,,10
K02000001,United Kingdom,overview,2023-07-14,,4
K02000001,United Kingdom,overview,2023-07-13,,15
K02000001,United Kingdom,overview,2023-07-12,1329,8
K02000001,United Kingdom,overview,2023-07-11,1150,8
K02000001,United Kingdom,overview,2023-07-10,1152,11
K02000001,United Kingdom,overview,2023-07-09,1159,8
