areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
K02000001,United Kingdom,overview,2023-03-29,52301383,49865536
K02000001,United Kingdom,overview,2023-03-28,52301261,49865406
K02000001,United Kingdom,overview,2023-03-27,52301192,49865299
K02000001,United Kingdom,overview,2023-03-26,52301118,49865230
K02000001,United Kingdom,overview,2023-03-25,52301147,49865208
K02000001,United Kingdom,overview,2023-03-24,52300948,49864772
K02000001,United Kingdom,overview,2023-03-23,52300842,49864619
K02000001,United Kingdom,overview,2023-03-22,52300708,49864486
K02000001,United Kingdom,overview,2023-03-21,52300610,49864317
K02000001,United Kingdom,overview,2023-03-20,52300505,49864179
K02000001,United Kingdom,overview,2023-03-19,52300410,49864062
K02000001,United Kingdom,overview,2023-03-18,52300435,49864044
K02000001,United Kingdom,overview,2023-03-17,52300231,49863485
K02000001,United Kingdom,overview,2023-03-16,52300097,49863284
K02000001,United Kingdom,overview,2023-03-15,52300013,49863104
K02000001,United Kingdom,overview,2023-03-14,52299924,49862891
K02000001,United Kingdom,overview,2023-03-13,52299836,49862790
K02000001,United Kingdom,overview,2023-03-12,52299804,49862628
K02000001,United Kingdom,overview,2023-03-11,52299818,49862535
K02000001,United Kingdom,overview,2023-03-10,52299586,49861997
K02000001,United Kingdom,overview,2023-03-09,52299500,49861769
K02000001,United Kingdom,overview,2023-03-08,52299478,49861663
K02000001,United Kingdom,overview,2023-03-07,52299391,49861468
K02000001,United Kingdom,overview,2023-03-06,52299373,49861345
K02000001,United Kingdom,overview,2023-03-05,52299319,49861061
K02000001,United Kingdom,overview,2023-03-04,52299328,49861005
K02000001,United Kingdom,overview,2023-03-03,52299057,49860390
K02000001,United Kingdom,overview,2023-03-02,52298939,49860165
K02000001,United Kingdom,overview,2023-03-01,52298890,49859991
K02000001,United Kingdom,overview,2023-02-28,52298738,49859781
K02000001,United Kingdom,overview,2023-02-27,52298574,49859536
K02000001,United Kingdom,overview,2023-02-26,52298505,49859405
K02000001,United Kingdom,overview,2023-02-25,52298527,49859337
K02000001,United Kingdom,overview,2023-02-24,52298221,49858535
K02000001,United Kingdom,overview,2023-02-23,52298076,49858181
K02000001,United Kingdom,overview,2023-02-22,52297951,49857863
K02000001,United Kingdom,overview,2023-02-21,52297879,49857517
K02000001,United Kingdom,overview,2023-02-20,52297779,49857300
K02000001,United Kingdom,overview,2023-02-19,52297681,49856974
K02000001,United Kingdom,overview,2023-02-18,52297696,49856842
K02000001,United Kingdom,overview,2023-02-17,52297316,49855842
K02000001,United Kingdom,overview,2023-02-16,52297099,49855321
K02000001,United Kingdom,overview,2023-02-15,52296930,49854892
K02000001,United Kingdom,overview,2023-02-14,52296773,49854473
K02000001,United Kingdom,overview,2023-02-13,52296651,49854114
K02000001,United Kingdom,overview,2023-02-12,52296523,49853710
K02000001,United Kingdom,overview,2023-02-11,52296458,49853400
K02000001,United Kingdom,overview,2023-02-10,52295672,49851670
K02000001,United Kingdom,overview,2023-02-09,52295296,49850999
K02000001,United Kingdom,overview,2023-02-08,52294979,49850450
K02000001,United Kingdom,overview,2023-02-07,52294641,49849851
K02000001,United Kingdom,overview,2023-02-06,52294438,49849410
K02000001,United Kingdom,overview,2023-02-05,52294251,49848979
K02000001,United Kingdom,overview,2023-02-04,52294141,49848498
K02000001,United Kingdom,overview,2023-02-03,52293529,49847230
K02000001,United Kingdom,overview,2023-02-02,52293256,49846649
K02000001,United Kingdom,overview,2023-02-01,52293027,49846188
K02000001,United Kingdom,overview,2023-01-31,52292789,49845634
K02000001,United Kingdom,overview,2023-01-30,52292589,49845102
K02000001,United Kingdom,overview,2023-01-29,52292347,49844532
K02000001,United Kingdom,overview,2023-01-28,52292263,49844114
K02000001,United Kingdom,overview,2023-01-27,52291612,49842585
K02000001,United Kingdom,overview,2023-01-26,52291229,49841823
K02000001,United Kingdom,overview,2023-01-25,52290924,49841214
K02000001,United Kingdom,overview,2023-01-24,52290606,49840678
K02000001,United Kingdom,overview,2023-01-23,52290302,49840162
K02000001,United Kingdom,overview,2023-01-22,52290110,49839769
K02000001,United Kingdom,overview,2023-01-21,52289997,49839055
K02000001,United Kingdom,overview,2023-01-20,52289213,49837147
K02000001,United Kingdom,overview,2023-01-19,52288790,49836374
K02000001,United Kingdom,overview,2023-01-18,52288487,49835754
K02000001,United Kingdom,overview,2023-01-17,52288236,49835287
K02000001,United Kingdom,overview,2023-01-16,52287962,49834672
K02000001,United Kingdom,overview,2023-01-15,52287663,49833997
K02000001,United Kingdom,overview,2023-01-14,52287525,49833584
K02000001,United Kingdom,overview,2023-01-13,52286779,49831843
K02000001,United Kingdom,overview,2023-01-12,52286374,49831021
K02000001,United Kingdom,overview,2023-01-11,52285985,49830365
K02000001,United Kingdom,overview,2023-01-10,52285649,49829723
K02000001,United Kingdom,overview,2023-01-09,52285314,49829156
K02000001,United Kingdom,overview,2023-01-08,52285006,49828722
K02000001,United Kingdom,overview,2023-01-07,52284922,49828131
K02000001,United Kingdom,overview,2023-01-06,52284020,49826476
K02000001,United Kingdom,overview,2023-01-05,52283536,49825798
K02000001,United Kingdom,overview,2023-01-04,52283182,49825238
K02000001,United Kingdom,overview,2023-01-03,52282673,49824551
K02000001,United Kingdom,overview,2023-01-02,52282301,49823981
K02000001,United Kingdom,overview,2023-01-01,52282412,49824085
K02000001,United Kingdom,overview,2022-12-31,52282547,49824220
K02000001,United Kingdom,overview,2022-12-30,52282361,49823941
K02000001,United Kingdom,overview,2022-12-29,52281990,49823418
K02000001,United Kingdom,overview,2022-12-28,52281572,49822782
