Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,36686784,37769499,38972230,40099462,41128771,42239854
Albania,ALB,"Population, total",SP.POP.TOTL,2866376,2854191,2837849,2811666,2775634,2766215
Algeria,DZA,"Population, total",SP.POP.TOTL,41927007,42705368,43451666,44177969,44903225,45606480
American Samoa,ASM,"Population, total",SP.POP.TOTL,48424,47321,46189,45035,44273,43914
Andorra,AND,"Population, total",SP.POP.TOTL,75013,76343,77700,79034,79824,80088
Angola,AGO,"Population, total",SP.POP.TOTL,31273533,32353588,33428486,34503774,35588987,36684202
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91626,92117,92664,93219,93763,94298
Argentina,ARG,"Population, total",SP.POP.TOTL,44494502,44938712,45376763,45808747,46234830,46519252
Armenia,ARM,"Population, total",SP.POP.TOTL,2836557,2820602,2805608,2790974,2780469,2777970
Aruba,ABW,"Population, total",SP.POP.TOTL,105962,106442,106585,106537,106445,106277
Australia,AUS,"Population, total",SP.POP.TOTL,24966643,25340217,25655289,25688079,25978935,26230248
Austria,AUT,"Population, total",SP.POP.TOTL,8840521,8879920,8916864,8955797,9042528,9056214
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9939771,10024283,10093121,10137750,10175016,10229190
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,401906,404557,406471,407906,409984,412623
Bahrain,BHR,"Population, total",SP.POP.TOTL,1487340,1494188,1477469,1463265,1472233,1485509
Bangladesh,BGD,"Population, total",SP.POP.TOTL,163683958,165516222,167420951,169356251,171186372,172954319
Barbados,BRB,"Population, total",SP.POP.TOTL,279688,280180,280693,281200,281635,281995
Belarus,BLR,"Population, total",SP.POP.TOTL,9438785,9419758,9379952,9302585,9208701,9167767
Belgium,BEL,"Population, total",SP.POP.TOTL,11427054,11488980,11538604,11592952,11669446,11698079
Belize,BLZ,"Population, total",SP.POP.TOTL,382066,389095,394921,400031,405272,410825
Benin,BEN,"Population, total",SP.POP.TOTL,11940683,12290444,12643123,12996895,13352864,13712828
Bermuda,BMU,"Population, total",SP.POP.TOTL,63918,63911,63893,63764,63532,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,762096,767459,772506,777486,782455,787424
Bolivia,BOL,"Population, total",SP.POP.TOTL,11606905,11777315,11936162,12079472,12224110,12388571
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3400129,3360711,3318407,3270943,3233526,3210847
Botswana,BWA,"Population, total",SP.POP.TOTL,2451409,2499702,2546402,2588423,2630296,2675352
Brazil,BRA,"Population, total",SP.POP.TOTL,210166592,211782878,213196304,214326223,215313498,216422446
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30335,30610,30910,31122,31305,31538
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,434274,438048,441725,445373,449002,452524
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7025037,6975761,6934015,6877743,6465097,6386070
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20392723,20951639,21522626,22100683,22673762,23251485
Burundi,BDI,"Population, total",SP.POP.TOTL,11493472,11874838,12220227,12551213,12889576,13238559
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,571202,577030,582640,587925,593149,598682
Cambodia,KHM,"Population, total",SP.POP.TOTL,16025238,16207746,16396860,16589023,16767842,16944826
Cameroon,CMR,"Population, total",SP.POP.TOTL,25076747,25782341,26491087,27198628,27914536,28647293
Canada,CAN,"Population, total",SP.POP.TOTL,37065084,37601230,38007166,38226498,38929902,39244168
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,64884,66134,67311,68136,68706,69310
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5094780,5209324,5343020,5457154,5579144,5742315
Chad,TCD,"Population, total",SP.POP.TOTL,15604210,16126866,16644701,17179740,17723315,18278568
Channel Islands,CHI,"Population, total",SP.POP.TOTL,167259,169410,171113,172683,174079,175346
Chile,CHL,"Population, total",SP.POP.TOTL,18701450,19039485,19300315,19493184,19603733,19629590
